,latitude,longitude,name
113,38.63351404,-121.5282646,2800 CHATEAU MONTELENA WAY
114,38.61199425,-121.4244182,1820 FRIENZA AVE
115,38.57546355,-121.47618229999999,2230 J ST
116,38.50771305,-121.5534498,6581 HARMON DR
117,38.51617367,-121.52863789999999,6054 RIVERSIDE BLVD
118,38.60088271,-121.4352821,1545 RIVER PARK DR
119,38.63244741,-121.4903723,1287 TRAIL END WAY
120,38.62275946,-121.51394599999999,2215 BORONA WAY
121,38.51110856,-121.53434340000001,6 SHELTER POINT CT
122,38.61286644,-121.44445470000001,970 FRIENZA AVE
123,38.61301252,-121.4993798,1631 W EL CAMINO AVE
124,38.60758365,-121.54110449999999,SWEET PEA WAY / SHADY ARBOR CT
125,38.65509277,-121.4477394,RIO LINDA BLVD / MAIN AVE
126,38.5206653,-121.515833,5878 KAHARA CT
127,38.62749128,-121.52870700000001,18 GODELLO CT
128,38.55456463,-121.41061380000001,7850 COLLEGE TOWN DR
129,38.66227019,-121.52913889999999,4947 KOKOMO DR
130,38.5695415,-121.40908400000001,HOWE AVE / AMERICAN RIVER DR
131,38.65731154,-121.51199790000001,4650 NATOMAS BLVD
132,38.54072015,-121.4620361,3724 SAN CARLOS WAY
133,38.53437911,-121.50687420000001,4410 CRESTWOOD WAY
134,38.62194039,-121.43171299999999,1500 TESSA AVE
135,38.46337225,-121.41617179999999,7500 HOSPITAL DR
136,38.54929974,-121.3882189,8545 FOLSOM BLVD
137,38.46449565,-121.45678799999999,8105 PHINNEY DR
138,38.58259727,-121.500996,401 J ST
139,38.54100057,-121.44581470000001,3632 52ND ST
140,38.53725889,-121.44775609999999,SAN FRANCISCO BLVD / 50TH ST
141,38.52545723,-121.51393390000001,5524 DANJAC CIR
142,38.61361383,-121.454378,2571 ALTOS AVE
143,38.58062786,-121.5014996,414 K ST
144,38.48682651,-121.5001978,7486 CARELLA DR
145,38.58137649,-121.49745379999999,7TH ST / J ST
146,38.48023792,-121.4360926,5701 LERNER WAY
147,38.58472227,-121.48585049999998,1321 E ST
148,38.60666541,-121.422421,1912 BOWLING GREEN DR
149,38.63862878,-121.3815598,3555 AUBURN BLVD
150,38.48420982,-121.448306,7526 TITIAN PKWY
151,38.56047289,-121.39027040000002,12 WATERGLEN CIR
152,38.65394829,-121.46246299999999,4733 NASHUA WAY
153,38.62221222,-121.44473190000001,971 ACACIA AVE
154,38.62524321,-121.4304825,3146 PALMER ST
155,38.46027205,-121.4304773,8178 CENTER PKWY
156,38.61199425,-121.4244182,1820 FRIENZA AVE
157,38.60154457,-121.42747,1689 ARDEN WAY
158,38.61317258,-121.44244690000001,1029 FRIENZA AVE
